Name,Id,Bar,Total,Date,Time
Zeb,29893,Deville,26.13,1/1/2017,15:15:21
Jacqueline,30528,Maxwell's Nightclub,33.54,1/1/2017,0:10:39
Johnathan,31150,The Boom Boom Room,35.53,1/1/2017,17:47:33
Charlee,31284,Friendsy's,3.89,1/1/2017,22:36:12
Eliga,31791,Frostfruit Inn,28.38,1/1/2017,0:58:06
Merritt,33823,The Snug,25.98,1/1/2017,13:40:33
Richmond,34268,The Grind & Jolt Cafe,33.94,1/1/2017,21:53:01
Brittany,34749,Brady Pub,11.76,1/1/2017,22:06:15
Kiara,34905,The Rose & Crown,32.57,1/1/2017,0:07:53
Keely,36182,The Learned Goat,37.8,1/1/2017,2:34:59
Merton,36208,O'Malley's Bar,26.69,1/1/2017,19:37:59
Lainey,38876,Seagrass,4.64,1/1/2017,0:16:37
Catherine,39028,Wurstbraterei,9.04,1/1/2017,1:20:54
Kenley,40363,Tabard,35.87,1/1/2017,19:26:14
Asberry,42052,Duke's Pub,38.09,1/1/2017,16:22:37
Selene,42706,The Moon Under Water,8.72,1/1/2017,16:39:01
Ephram,42873,The Drunken Clam,42.47,1/1/2017,19:29:40
Clifford,43337,The Grind & Jolt Cafe,15.3,1/1/2017,23:04:55
Avah,43419,Cocktails and Dreams,42.07,1/1/2017,0:25:23
Arnold,43779,Jack's Crocodile Bar,29.6,1/1/2017,22:19:40
Delia,44770,Puzzles,19.13,1/1/2017,0:40:06
Santiago,199,The Learned Goat,36.29,1/2/2017,2:44:45
Gene,395,The Tropicana,24.79,1/2/2017,22:31:25
Ephriam,777,Four Shields Tavern,11.86,1/2/2017,0:35:06
Darrell,1190,The Crazy Cock,18.13,1/2/2017,1:03:23
Briana,3638,The Oblivion Bar,21.06,1/2/2017,0:08:37
Marcel,4276,The Winking Skeever,11.6,1/2/2017,10:42:47
Estrella,6683,The Silent Woman,29.8,1/2/2017,1:01:55
Juluis,7416,The Drowned Trout,26.69,1/2/2017,0:55:58
Aaliyah,7554,Wandin Valley RSL,12,1/2/2017,0:24:48
Kit,9043,The Elephant,24.18,1/2/2017,1:43:45
Marilyn,9168,The Feed Bag,26.63,1/2/2017,1:41:50
Marina,10246,The Oblivion Bar,23.08,1/2/2017,19:32:51
Mckayla,11194,The Crazy Cock,7.45,1/2/2017,2:03:01
Karley,11243,The Globe and Anchor,20.96,1/2/2017,16:19:08
Anahi,11349,Kadie's Club Pecos,17.57,1/2/2017,22:24:50
Orla,12312,The Last Chance Saloon,13.62,1/2/2017,15:56:06
Ashanti,15096,The Silver Dollar Saloon,30.85,1/2/2017,17:00:56
Marion,15298,Korova Milk Bar,29.65,1/2/2017,2:52:01
Bertha,16920,The Cap & Bell,23.95,1/2/2017,20:30:15
Toni,17102,LUX,5.18,1/2/2017,1:29:09
Elliana,17587,Torchy's,6.67,1/2/2017,0:25:25
Sid,17648,The Moon Under Water,31.86,1/2/2017,19:06:58
Alexander,17723,LUX,35.06,1/2/2017,17:35:18
Lenard,18693,Essence,37.17,1/2/2017,0:05:35
Ned,18888,The Kit Kat Klub,20.4,1/2/2017,0:00:06
Izabella,19372,The Elephant,24.84,1/2/2017,2:32:41
Nora,20415,The Oak and Crosier,40.89,1/2/2017,1:07:38
Aaliyah,20512,Fangtasia,31.79,1/2/2017,16:14:33
Trista,20860,The Duke Of Burgundy,7.86,1/2/2017,16:16:41
Nancy,21101,Gallow's End Tavern,13.04,1/2/2017,19:20:55
Emilee,21279,Charlie's,21.47,1/2/2017,23:41:01
Sandra,21669,The Crab Shed,4.81,1/2/2017,22:38:28
Kadence,22520,Mad Dog Saloon,12.38,1/2/2017,3:02:04
Eva,23713,The Plumbers Arms,25.24,1/2/2017,21:38:34
Pryor,24061,The Lion and Unicorn,7.05,1/2/2017,17:55:36
Jarrett,24924,Kadie's Club Pecos,40.48,1/2/2017,0:19:41
Kyla,25177,Underworld Tavern,25.14,1/2/2017,17:39:34
Walton,25902,Mad Dog Saloon,3.91,1/2/2017,0:43:26
Renee,26548,Table Salt,37.34,1/2/2017,22:01:09
Azul,26818,Samoan Joe's,20.33,1/2/2017,21:09:53
Ernest,27337,The Broken Drum/The Mended Drum,16.78,1/2/2017,16:36:58
Casey,27506,Paddy's Pub,3.89,1/2/2017,22:59:28
Paul,30653,The Cat & Fiddle,33.06,1/2/2017,19:29:03
Carter,30749,The Bamboo Lounge,27.07,1/2/2017,17:06:12
Noel,32320,Korova Milk Bar,43.36,1/2/2017,1:39:32
Janiyah,33215,The Ivy Bush,52.07,1/2/2017,18:26:07
Marilyn,33844,Paddy's Pub,20.04,1/2/2017,0:20:05
Owen,34375,Central Perk,13.09,1/2/2017,4:07:15
Anabel,34917,The Hand of Glory,30.47,1/2/2017,15:20:15
Leilani,35146,Cooper's,27.07,1/2/2017,0:16:23
Alvah,36318,The Yellow Flag,16.13,1/2/2017,1:05:51
Florence,36656,The Woolpack,16.98,1/2/2017,1:39:21
Obe,37757,Boobies,28,1/2/2017,20:38:09
Jaylynn,37896,Candlehearth Hall,7.81,1/2/2017,23:15:33
Heidi,37982,The Old Pink Dog,18.11,1/2/2017,22:18:37
Evie,38094,Old Prospector Saloon,5.91,1/2/2017,19:40:43
Jaden,38281,The Drunken Clam,29.69,1/2/2017,9:55:43
Fate,39794,McAnally's,18.17,1/2/2017,22:04:26
Santiago,39883,The Brick,10.27,1/2/2017,2:28:41
Jalynn,40457,P3,26.9,1/2/2017,19:30:08
Lillian,41656,The Rusty Anchor,38.42,1/2/2017,16:38:09
Vernon,43317,Korova Milk Bar,24.65,1/2/2017,2:42:27
Benton,43634,The Cap & Bell,36.5,1/2/2017,1:55:02
Adrian,2781,The Silent Woman,25.18,1/3/2017,1:02:37
Bishop,4161,Cockatoo Inn,39.89,1/3/2017,0:27:05
Lowell,6238,Electric Psychedelic Pussycat Swingers Club,16.69,1/3/2017,20:32:10
Hyrum,6343,Mama Chow's Fine Dining,34.08,1/3/2017,13:50:36
Geo,7213,Daddy Crab Leg's Crab Shack,9.41,1/3/2017,18:33:40
Maude,7306,Sandbox,35.68,1/3/2017,22:49:49
Emilia,7550,Dugout Inn,21.71,1/3/2017,0:26:43
Ruby,8443,The Shakespeare,7.79,1/3/2017,1:21:42
Liana,8804,The Moon Under Water,39.82,1/3/2017,14:11:02
Diana,9668,Bodarks Bus Stop Restaurant,40.33,1/3/2017,16:13:27
Isidore,10058,The Broken Drum/The Mended Drum,9.25,1/3/2017,2:39:43
Nadia,10195,The Rose & Crown,39.57,1/3/2017,15:40:06
Esequiel,10260,The Pie Hole,10.73,1/3/2017,1:39:48
Rebekah,15404,Kavanagh's Irish Pub,16.35,1/3/2017,2:04:53
Giles,15552,Rowlf's Tavern,44.7,1/3/2017,20:07:06
Kira,16038,Bodarks Bus Stop Restaurant,36.4,1/3/2017,23:20:38
Theo,17048,Bunnys,33.04,1/3/2017,1:51:05
Hugh,17553,Alibi Bar,25.05,1/3/2017,0:05:43
Moriah,18019,The Last Resort,15.59,1/3/2017,18:48:47
Manly,18209,Mama Chow's Fine Dining,24.58,1/3/2017,13:51:04
Katherine,18461,Underworld Tavern,32.25,1/3/2017,2:13:46
Wilson,19000,The Grind & Jolt Cafe,5.82,1/3/2017,0:10:22
Hamp,20252,Milliway's,27.81,1/3/2017,16:14:07
Molly,21514,The Snug,33.58,1/3/2017,21:16:24
Forest,21994,Candlehearth Hall,34.22,1/3/2017,2:27:04
Hardy,23720,The Winchester Club,28.42,1/3/2017,1:59:44
Citlali,24188,The Globe and Anchor,34.16,1/3/2017,3:27:35
Geo,24438,The Eolian,36.59,1/3/2017,14:36:54
Danna,24787,O'Malley's Bar,41.44,1/3/2017,4:34:20
Tracy,25575,The Bada Bing,35.78,1/3/2017,3:52:16
Horatio,26320,The Cap & Bell,38.77,1/3/2017,17:56:08
Butler,26573,Jack Rabbit Slim's,23.93,1/3/2017,2:14:15
Kiera,26716,The Tropicana,20.81,1/3/2017,0:47:04
Joslyn,26719,Samoan Joe's,32.36,1/3/2017,19:33:11
Colin,27590,Lucky Lockup,44.62,1/3/2017,1:48:05
Lorenzo,27771,The Lion and Unicorn,3.4,1/3/2017,1:21:08
Itzel,28320,Rowlf's Tavern,18.42,1/3/2017,2:20:08
Clinton,28858,Free the Paedos,37.83,1/3/2017,0:07:40
Rafael,29622,The Pie Hole,6.07,1/3/2017,0:40:51
Averie,30177,The Rusty Anchor,40.92,1/3/2017,0:02:47
Troy,30362,Rick's Café Américain,40.86,1/3/2017,15:45:25
Moriah,32770,Jack Rabbit Slim's,41.6,1/3/2017,1:41:00
Claud,32911,The Bloated Float Inn,45.05,1/3/2017,22:59:14
Aspen,33515,Night Spot,30.05,1/3/2017,12:24:38
Edd,33692,Rowlf's Tavern,3.68,1/3/2017,1:47:20
Liliana,33927,The Iron Horse,14.75,1/3/2017,0:49:38
Clinton,34195,The Iron Horse,31.29,1/3/2017,0:27:41
Kya,34548,Palace Saloon,4.83,1/3/2017,0:45:45
Hudson,35084,Broome's,33.59,1/3/2017,1:43:20
Carleigh,35427,The Tall Ship,20.84,1/3/2017,10:47:51
Laci,36471,The Mucky Duck,5.74,1/3/2017,1:59:31
Regina,38213,Milliway's,25.29,1/3/2017,1:12:13
Lorelai,38293,Four Shields Tavern,21.66,1/3/2017,0:44:59
Loy,38701,The Broken Drum/The Mended Drum,29.18,1/3/2017,18:15:42
Brooks,40490,The Buck's Head Inn,13.17,1/3/2017,4:35:02
Adolf,41155,The Armada Room,12.23,1/3/2017,21:11:42
Elton,41614,Broken Keel Tavern,4.72,1/3/2017,0:24:11
Stephanie,42261,Roulette,27.85,1/3/2017,15:04:36
Mortimer,42295,Night Spot,30.33,1/3/2017,22:58:37
Joshua,42646,The Hanged Man,21.04,1/3/2017,0:08:06
Dexter,42770,The Last Resort,23.25,1/3/2017,16:27:56
Jaylyn,43058,Scarlet Raven Tavern,21.99,1/3/2017,17:47:38
Aliza,43187,The Malt Shovel,4.29,1/3/2017,1:16:33
Sheldon,43662,Lusty Leopard,30.25,1/3/2017,2:38:44
Charley,941,The Queen Victoria,42.08,1/4/2017,0:26:15
Johnnie,1401,The Boom Boom Room,22.72,1/4/2017,1:34:16
Johnny,2748,The Brass Lantern,7.84,1/4/2017,0:51:38
Coleman,3812,The Frozen Hearth,17.08,1/4/2017,16:39:55
Colin,4702,The Pig and Whistle,17.93,1/4/2017,17:48:19
Daphne,5316,The Sole Regret,7.23,1/4/2017,0:47:21
Pierce,6850,Colonial Taphouse,13.93,1/4/2017,2:29:32
Doc,8574,The Globe and Anchor,38.87,1/4/2017,22:50:59
Talmage,8605,The Crazy Cock,20,1/4/2017,2:50:01
Halbert,8997,Cooper's,12.97,1/4/2017,18:27:27
Natalie,10978,The Railway Arms,33.14,1/4/2017,1:33:35
Jamya,11344,Salty Sailor Tavern,27.07,1/4/2017,23:16:16
Lorenzo,11647,The Admiral Benbow Inn,26.26,1/4/2017,13:27:02
Jesus,11980,Milliway's,36.05,1/4/2017,23:11:18
Jayden,14933,Night Spot,20.7,1/4/2017,3:07:34
Eber,15102,Salieri's Bar,38.02,1/4/2017,0:24:30
Brynlee,17563,Duke's Pub,13.99,1/4/2017,14:13:20
Emery,18250,The Kebab & Calculator,9.03,1/4/2017,1:28:52
Bird,21315,The Butchers Arms,29.14,1/4/2017,0:02:16
Benjamine,22969,Cohan's,4.21,1/4/2017,15:21:10
Jayleen,23227,The Count's Arms,29.21,1/4/2017,0:51:43
Madyson,23513,The Lion and Unicorn,24.54,1/4/2017,21:22:28
Oral,24447,The Grind & Jolt Cafe,22.01,1/4/2017,0:29:22
Vern,25370,Cooper's,33.5,1/4/2017,0:20:02
Firman,25432,The Bamboo Lounge,34.67,1/4/2017,22:13:23
Edson,25934,The Admiral Benbow Inn,5.45,1/4/2017,23:57:41
Sanford,26596,The Kebab & Calculator,27.65,1/4/2017,18:26:46
Joshua,26671,Rovers Return Inn,4.32,1/4/2017,21:12:38
Reina,27607,The Rose & Crown,25.83,1/4/2017,0:16:33
Caitlyn,28780,The Orange Tree,24.25,1/4/2017,0:24:26
Russell,29016,The Cat & Fiddle,16.75,1/4/2017,4:02:14
Roscoe,32361,Bunnys,39.78,1/4/2017,0:32:41
Aubree,33789,The Rose & Crown,10.17,1/4/2017,22:44:28
Ebb,34500,The King and Queen Tavern,4.29,1/4/2017,0:54:02
Mal,34745,The Cap & Bell,28.82,1/4/2017,17:50:51
Karsyn,35661,LUX,16.33,1/4/2017,16:33:18
Everett,36472,Elfsong Tavern,30.53,1/4/2017,22:29:29
Finley,37781,The Iron Horse,37.03,1/4/2017,0:14:01
Jimmie,38945,Jack Rabbit Slim's,36.38,1/4/2017,2:42:04
Eben,39195,The Iron Horse,24.44,1/4/2017,20:26:59
Lilia,39887,Maccadam's Old Oil House,25.75,1/4/2017,2:12:07
Brad,40945,Corrado Italian Bistro,31.8,1/4/2017,0:31:40
Ed,42916,The Oblivion Bar,10.01,1/4/2017,19:30:02
Harlan,43311,The Count's Arms,5.14,1/4/2017,23:50:55
Amiyah,44149,The Orange Tree,34.46,1/4/2017,22:55:46
Ottis,981,The Bannered Mare,7.32,1/5/2017,2:30:20
Carolina,1187,Talon Bar,21.68,1/5/2017,23:22:35
Kira,1376,The Thorax Bar,33.4,1/5/2017,0:28:39
Grover,1596,Jack Rabbit Slim's,40.03,1/5/2017,1:13:05
Wilfred,1905,The King and Queen Tavern,25.66,1/5/2017,0:38:13
Israel,3904,The Kit Kat Klub,13.01,1/5/2017,22:04:20
Augusta,4586,Cohan's,28.1,1/5/2017,12:39:28
Enoch,5315,Rosie's Bar,21.95,1/5/2017,0:36:25
Okey,5678,Braidwood Inn,9.18,1/5/2017,20:01:15
Holmes,6971,Vardi's,3.34,1/5/2017,0:16:54
Madilynn,7295,Puzzles,9.14,1/5/2017,0:37:17
Jaqueline,8069,The Drunken Clam,36.96,1/5/2017,1:04:23
Lydia,8722,Wonder Bar,8.11,1/5/2017,0:22:03
Gisselle,9865,The Kebab & Calculator,16.06,1/5/2017,1:25:07
Authur,11992,Salieri's Bar,22.69,1/5/2017,21:09:00
Jones,12363,The Railway Arms,7.05,1/5/2017,15:19:34
Lillian,12604,Border Watch Inn,33.77,1/5/2017,0:32:39
Kyle,13870,Broken Keel Tavern,9.32,1/5/2017,18:11:27
Yaretzi,14341,Dexter Lake Club,6.14,1/5/2017,0:58:24
Berry,14961,The Oak and Crosier,44.91,1/5/2017,16:43:48
Jerome,16042,The Place,11.39,1/5/2017,23:08:31
Chana,17473,Free the Paedos,24.43,1/5/2017,7:04:36
Horace,18901,The Hand of Glory,32.15,1/5/2017,4:51:56
Kelsie,21541,SaxonwoldShebeen,7.09,1/5/2017,23:51:17
Collie,22805,Eden Hall,7.03,1/5/2017,19:03:13
Roderick,23285,The Oak and Crosier,16.69,1/5/2017,9:04:51
Phillip,23823,Snakehole Lounge,5.14,1/5/2017,16:22:29
Aniya,23841,Dugout Inn,5.71,1/5/2017,23:03:51
Avery,24247,The Armada Room,4.3,1/5/2017,0:19:56
Isom,26506,Dal Riata,29.42,1/5/2017,17:34:48
Elihu,26916,Louie's,26.62,1/5/2017,16:25:25
Amya,27133,Maxwell's Nightclub,13.83,1/5/2017,14:59:04
Kiley,27817,Fortune Casino,25.16,1/5/2017,0:30:31
Trista,27843,P3,17.55,1/5/2017,22:49:44
Oren,27853,The Tropicana,43.53,1/5/2017,0:37:52
Isreal,27909,P3,17.85,1/5/2017,0:08:08
Chester,31146,Roulette,26.11,1/5/2017,0:27:43
Allyson,31163,The Silver Dollar Saloon,19.16,1/5/2017,8:24:24
Gorge,34081,Poor Richard's,34.72,1/5/2017,3:17:17
Judd,34584,﻿Ace of Clubs,8.31,1/5/2017,1:38:30
Jaelyn,34728,The Bada Bing,17.41,1/5/2017,21:21:18
Esmeralda,35298,The Oak and Crosier,27.42,1/5/2017,1:41:00
Savannah,35916,Roulette,15.97,1/5/2017,14:19:33
Lem,39587,The Drunken Clam,19.65,1/5/2017,9:37:34
Huey,39963,Paddy's Pub,26.25,1/5/2017,0:58:55
Hardin,40184,McAnally's,16.67,1/5/2017,16:52:12
Randall,40369,The Oak and Crosier,33.24,1/5/2017,0:46:28
Kenzie,41798,Dugout Inn,12.64,1/5/2017,23:21:51
Carrie,41818,Callahan's Place,34.87,1/5/2017,22:17:36
Giovanna,42984,Cockatoo Inn,33.85,1/5/2017,0:50:35
Zion,44867,The Bamboo Lounge,4.27,1/5/2017,7:09:57
Verne,3831,Tavern of Time,20.52,1/6/2017,2:02:38
Walton,4191,The Yellow Flag,13.66,1/6/2017,2:35:26
Elyse,4735,The Brick,28.57,1/6/2017,1:01:04
Kayden,5187,The Boom Boom Room,19.94,1/6/2017,13:01:55
Emmet,5229,Broome's,49.02,1/6/2017,17:28:59
Shyanne,5503,The Maidenhead,29.51,1/6/2017,19:05:30
Isham,5703,The Earl Of Osbourne,43.3,1/6/2017,0:53:50
Tayler,6311,The Pilgrim's Rest,46.16,1/6/2017,20:38:59
Briley,6443,Dexter Lake Club,17.32,1/6/2017,1:41:47
Lyman,6466,The Kit Kat Klub,34.51,1/6/2017,16:35:52
Carlos,8099,Noah's Bar,29.63,1/6/2017,2:44:38
Shaniya,8491,Dagmar,13.17,1/6/2017,1:58:25
Abe,9617,Dal Riata,19.67,1/6/2017,0:40:09
York,10515,Joe's,40.21,1/6/2017,2:18:24
Babe,10933,The Broken Drum/The Mended Drum,38.74,1/6/2017,19:38:59
Newell,11416,Rolliver's Inn,24.63,1/6/2017,21:14:57
Lemuel,11503,Wurstbraterei,29.88,1/6/2017,0:44:31
Add,12493,Snakehole Lounge,27.63,1/6/2017,0:39:28
Isla,12713,Bodarks Bus Stop Restaurant,24.91,1/6/2017,18:57:38
Walker,13085,The Mucky Duck,4.83,1/6/2017,1:36:16
Abigail,14231,Sandbox,41.3,1/6/2017,18:32:18
Basil,16345,The Elephant,26.28,1/6/2017,10:44:23
Charlee,16902,Playaz Club,46.73,1/6/2017,0:31:39
Jaycee,17769,Mama Chow's Fine Dining,21.34,1/6/2017,3:49:04
Eva,18394,Essence,14.41,1/6/2017,22:54:56
Camila,20485,Cafe Rene,22.36,1/6/2017,13:24:45
Madisyn,20609,The Ivy Bush,5.64,1/6/2017,18:53:51
Haylie,22769,Elfsong Tavern,19.34,1/6/2017,3:25:22
Lilly,22777,The Crab Shed,7.96,1/6/2017,20:52:10
Mercer,23909,The Oak and Crosier,23.92,1/6/2017,11:29:34
Kyleigh,24214,The Last Chance Saloon,22.18,1/6/2017,22:47:12
Nyla,25044,Tabard,37.11,1/6/2017,15:59:25
Gregorio,25200,Y Deri Arms,20.15,1/6/2017,10:30:34
Jake,26002,The Winking Skeever,35.3,1/6/2017,19:54:16
Barnett,26459,Torchy's,32.6,1/6/2017,22:09:39
Buford,26784,Elfsong Tavern,13.7,1/6/2017,20:50:09
Hugo,27196,Snakehole Lounge,23.31,1/6/2017,0:41:38
Murphy,28176,Poor Richard's,27.64,1/6/2017,2:06:07
Lilian,28569,The Eolian,5.41,1/6/2017,0:28:07
Elsie,29966,The Moonrakers,34.56,1/6/2017,19:45:21
Betsy,30007,Salieri's Bar,15.56,1/6/2017,13:12:27
Jessica,32839,Wurstbraterei,27.16,1/6/2017,17:30:42
Peter,33908,The Pool Hall,10.93,1/6/2017,0:39:52
Jaylen,35923,Kavanagh's Irish Pub,13.32,1/6/2017,3:23:18
Deforest,39240,Colonial Taphouse,24.23,1/6/2017,0:16:05
Addison,40202,Daddy Crab Leg's Crab Shack,17.83,1/6/2017,21:14:40
Willard,40517,Porky's,4.45,1/6/2017,2:36:18
Essie,41105,Daddy Crab Leg's Crab Shack,35.26,1/6/2017,1:01:55
Miya,41321,The Brass Lantern,43.63,1/6/2017,0:54:12
Emilie,41695,Dal Riata,37.61,1/6/2017,0:07:52
Bria,42125,The Globe and Anchor,20.71,1/6/2017,9:42:58
Virginia,43705,The Peach Pit,26.53,1/6/2017,0:55:06
Kyra,44395,The Frozen Hearth,25.02,1/6/2017,2:49:24
Alondra,100,The Eolian,12.94,1/7/2017,1:07:05
Dakota,331,Sandbox,34.83,1/7/2017,3:26:25
Rollie,2479,De Rossi's Wine Bar,8.23,1/7/2017,3:51:23
Fleming,2998,﻿Ace of Clubs,19.32,1/7/2017,1:13:33
Bailey,3039,Mama Chow's Fine Dining,16.1,1/7/2017,10:16:58
Jess,3514,Palace Saloon,31.16,1/7/2017,15:55:22
Delaney,3516,The Bannered Mare,4.73,1/7/2017,11:53:04
Warren,5944,Lusty Leopard,33.01,1/7/2017,2:07:10
Carolyn,6532,Free the Paedos,46.66,1/7/2017,23:08:43
Aden,7158,The Pig and Whistle,24.72,1/7/2017,2:05:16
Allyson,7342,The Thorax Bar,4.48,1/7/2017,0:37:22
Ximena,7609,The Railway Arms,12.19,1/7/2017,0:52:17
Nicolette,8018,Deville,5.04,1/7/2017,20:44:14
Alondra,8079,De Rossi's Wine Bar,18.42,1/7/2017,16:16:19
Leah,8349,Bob's Country Bunker,33.72,1/7/2017,18:53:36
Kiana,8782,Poison,40.02,1/7/2017,22:16:45
Jeff,9844,Braidwood Inn,15.31,1/7/2017,0:14:33
Elza,9997,Shooters,27.66,1/7/2017,21:54:39
Paityn,10033,McAnally's,19.6,1/7/2017,0:35:52
Shyla,10227,The Last Chance Saloon,4.61,1/7/2017,0:21:20
Malachi,10426,Mr. Pubbs,36.76,1/7/2017,21:44:21
Danika,10637,The Boom Boom Room,37.22,1/7/2017,20:40:26
Nellie,11062,Mancini's Family Restaurant,7.58,1/7/2017,2:32:12
Rhianna,11224,The King and Queen Tavern,32.83,1/7/2017,15:24:49
Isabel,11455,The Bronze,27.5,1/7/2017,1:10:57
Anabelle,14842,The Sole Regret,13.14,1/7/2017,0:29:34
Ashton,16260,Jack Rabbit Slim's,31.59,1/7/2017,1:05:07
Maude,16305,Essence,27.5,1/7/2017,19:02:05
Shade,17327,The Aidensfield Arms,4.21,1/7/2017,0:45:07
Eber,19538,Bunnys,17.07,1/7/2017,1:25:34
Clinton,21480,Joe's,19.62,1/7/2017,22:08:07
Murphy,23327,Noah's Bar,22.84,1/7/2017,0:43:12
Joesph,24267,Y Deri Arms,18.85,1/7/2017,12:18:54
Gabriella,24359,﻿Ace of Clubs,33.44,1/7/2017,23:17:29
Fate,29218,The Mucky Duck,21.78,1/7/2017,20:35:50
Wilhelm,29513,Sandbox,9.7,1/7/2017,19:27:23
Wilbur,29737,Tavern of Time,32.66,1/7/2017,0:39:09
Josephine,30378,The Spotted Dog,12.52,1/7/2017,0:19:17
Paityn,31100,Broken Keel Tavern,11.88,1/7/2017,2:22:44
Charlie,31531,The Winking Skeever,14.27,1/7/2017,0:45:41
Abagail,32587,Mad Dog Saloon,13.83,1/7/2017,3:43:17
Desirae,33609,The Winchester Club,20.19,1/7/2017,21:52:28
Annabelle,33633,The Rose & Crown,30.53,1/7/2017,11:19:08
Alyssa,34443,The Broken Stool,14.18,1/7/2017,1:04:14
Destiny,34807,Duke's Pub,23.14,1/7/2017,2:30:03
Kamora,35624,Roulette,14.4,1/7/2017,15:47:19
Ruffus,35655,Electric Psychedelic Pussycat Swingers Club,35.91,1/7/2017,2:00:27
Tom,35693,The Silver Dollar Saloon,20.5,1/7/2017,19:10:49
Ervin,36050,The Plumbers Arms,24.45,1/7/2017,19:16:28
Ned,37137,Snakehole Lounge,29.9,1/7/2017,0:50:03
Mya,37754,The Moon Under Water,27.23,1/7/2017,0:34:46
Penelope,38336,Central Perk,29.89,1/7/2017,16:48:07
Tobe,38494,Maxwell's Nightclub,1.9,1/7/2017,0:44:51
Tayla,38860,The Place,16.54,1/7/2017,2:47:33
Jess,39487,Dagmar,15.69,1/7/2017,19:36:58
Handy,40129,Roulette,38.69,1/7/2017,20:48:52
Brandi,41596,Tabard,34.36,1/7/2017,21:18:00
Annie,43466,The Armada Room,10.72,1/7/2017,2:02:31
Bria,43757,Louie's,38.61,1/7/2017,0:38:43
Patience,43796,Puzzles,28.84,1/7/2017,0:18:08
Janae,43913,Bodarks Bus Stop Restaurant,30.47,1/7/2017,19:36:04
Jewel,406,The Moon Under Water,43.41,1/8/2017,0:55:22
Dempsey,962,Dexter Lake Club,24.47,1/8/2017,0:36:11
Birt,1787,Old Prospector Saloon,4.65,1/8/2017,0:49:49
Archie,1811,The Duke Of Burgundy,17.14,1/8/2017,1:17:14
Chelsea,2406,Dugout Inn,32.68,1/8/2017,23:42:08
Gardner,2584,O'Malley's Bar,6.88,1/8/2017,1:35:28
Abraham,2759,Copacabana,4.22,1/8/2017,23:46:43
Denver,5110,The Drowned Trout,3.57,1/8/2017,0:39:03
Kaya,6205,Copa,18.95,1/8/2017,2:22:01
Alessandra,6468,McAnally's,12.23,1/8/2017,0:20:07
Adeline,6620,Rosie's Bar,11.84,1/8/2017,0:57:27
Haylie,7460,Brady Pub,10.33,1/8/2017,14:34:17
Saige,9086,The Ivy Bush,35.38,1/8/2017,20:47:45
Elvin,9317,The Bamboo Lounge,41.49,1/8/2017,13:28:27
Cato,10351,Dugout Inn,12.51,1/8/2017,0:40:16
Gisselle,10440,The Cap & Bell,17.61,1/8/2017,20:07:19
Garret,12145,Rolliver's Inn,16.89,1/8/2017,20:45:00
Ephram,12176,Salty Sailor Tavern,5.21,1/8/2017,21:45:29
Willian,12467,The Rose & Thorn,8.34,1/8/2017,0:26:29
Livia,12471,The Bull,35.4,1/8/2017,23:06:27
Auther,12820,Corrado Italian Bistro,11.2,1/8/2017,2:32:18
